ip,hostname,city,region,country,loc,org,postal,timezone
2001:8a0:7312:a700:191:1522:3ff8:a099,,Lisbon,Lisbon,PT,"38.7167,-9.1333",AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,1000-001,Europe/Lisbon
2600:4041:5550:8800:8c24:f6d5:9954:ba5a,,New York City,New York,US,"40.7143,-74.0060",AS701 Verizon Business,10004,America/New_York
2607:fa49:7e01:1b00:5ed:e977:fd5f:4f74,,Montréal,Quebec,CA,"45.5168,-73.6072",AS5769 Videotron Telecom Ltee,H2V,America/Toronto
116.68.97.91,91.97.68.116.asianet.co.in,Ernākulam,Kerala,IN,"9.9671,76.2904",AS17465 Cable ISP in India,682036,Asia/Kolkata
76.98.207.73,c-76-98-207-73.hsd1.pa.comcast.net,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2a00:23c7:a899:4701:99dc:bd9:24af:e827,,London,England,GB,"51.5085,-0.1257",AS2856 British Telecommunications PLC,EC1A,Europe/London
73.84.140.13,c-73-84-140-13.hsd1.fl.comcast.net,Boynton Beach,Florida,US,"26.5312,-80.1418","AS20214 Comcast Cable Communications, LLC",33437,America/New_York
37.39.205.89,,Şabāḩ as Sālim,Mubārak al Kabīr,KW,"29.2572,48.0572",AS42961 Mobile Telecommunications Company,,Asia/Kuwait
173.238.246.77,d173-238-246-77.home4.cgocable.net,Milton,Ontario,CA,"43.5148,-79.8840",AS7992 Cogeco Connexion Inc.,L9T,America/Toronto
219.74.233.138,bb219-74-233-138.singnet.com.sg,Singapore,Singapore,SG,"1.3810,103.9369",AS9506 Singtel Fibre Broadband,510722,Asia/Singapore
2603:6010:bb00:4fce:f095:4c24:c6f6:aa2b,,Middletown,Ohio,US,"39.5151,-84.3983",AS10796 Charter Communications Inc,45044,America/New_York
210.10.3.94,,Singapore,Singapore,SG,"1.3362,103.7519",AS4817 Simba Telecom Pte Ltd,608595,Asia/Singapore
2406:3003:2000:16b7:8172:bba4:a4dc:b153,,Singapore,Singapore,SG,"1.3511,103.9591",AS55430 Starhub Ltd,520339,Asia/Singapore
2600:6c48:767f:80b3:7dd4:6ef2:1a0c:a3f1,,Saginaw,Michigan,US,"43.4248,-83.9745",AS20115 Charter Communications,48602,America/Detroit
2a02:c7c:30c2:7200:3512:7b84:5255:f10,,Amsterdam,North Holland,NL,"52.3740,4.8897",AS5607 Sky UK Limited,1012,Europe/Amsterdam
78.148.200.5,host-78-148-200-5.as13285.net,Ipswich,England,GB,"52.0592,1.1555",AS13285 TalkTalk Communications Limited,IP4,Europe/London
2620:132:b042:0:1569:352e:481e:7ae0,,Northfield,Minnesota,US,"44.4583,-93.1616",AS21951 St. Olaf College,55057,America/Chicago
2600:6c48:767f:80b3:25d5:8631:29d0:96eb,,Saginaw,Michigan,US,"43.4248,-83.9745",AS20115 Charter Communications,48602,America/Detroit
2600:6c48:767f:80b3:5cff:ae19:e35:81ec,,Saginaw,Michigan,US,"43.4248,-83.9745",AS20115 Charter Communications,48602,America/Detroit
191.125.3.101,191-125-3-101.bam.movistar.cl,Santiago,Santiago Metropolitan,CL,"-33.4569,-70.6483",AS7418 TELEFÓNICA CHILE S.A.,8320000,America/Santiago
47.19.7.246,,Levittown,New York,US,"40.7259,-73.5143",AS6128 Cablevision Systems Corp.,11756,America/New_York
2a02:8440:3301:8f78:0:66:9f4d:9c01,,Paris,Île-de-France,FR,"48.8412,2.3876",AS15557 Societe Francaise Du Radiotelephone - SFR SA,75611 CEDEX 12,Europe/Paris
77.243.24.104,77-243-24-104.dynamic.a1.rs,Belgrade,Central Serbia,RS,"44.8040,20.4651",AS44143 A1 Srbija d.o.o,11000,Europe/Belgrade
46.223.162.8,ip-046-223-162-008.um13.pools.vodafone-ip.de,Karlsruhe,Baden-Wurttemberg,DE,"49.0078,8.4199",AS3209 Vodafone GmbH,76131,Europe/Berlin
2607:fea8:4ce2:e700:2d9c:5d94:f41c:3b23,,Toronto,Ontario,CA,"43.7001,-79.4163",AS812 Rogers Communications Canada Inc.,M5A,America/Toronto
2603:6081:3e01:fac0:9c71:d9:b7bb:c2ef,,Gastonia,North Carolina,US,"35.2172,-81.1252",AS11426 Charter Communications Inc,28056,America/New_York
